iteration,avg_dist,max_dist,min_dist,std
136,8090.05,12668.56,6769.182,1082.3173
137,8041.0884,13335.133,6769.1826,1109.8312
138,7942.402,11944.675,6769.1826,1082.4626
139,7868.917,14121.394,6769.1826,1000.74
140,8052.4097,12568.697,6769.1826,1100.4612
141,8029.547,11958.439,6770.0806,1048.6404
142,8008.2065,12714.29,6769.1826,1098.971
143,8091.114,12801.184,6770.0806,1085.1152
144,7953.524,12392.792,6770.0806,1030.6304
145,8020.7686,12994.32,6770.08,1114.9742
146,8035.08,12687.292,6769.182,1144.3772
147,8035.08,12080.664,6770.081,1061.7551
148,8000.625,12330.153,6770.08,1068.5591
149,7945.553,11620.6875,6769.1826,1058.8464
150,7962.812,11928.28,6769.1826,1056.182
151,7990.7974,11875.292,6769.1826,1058.8636
152,8018.008,12215.862,6769.7036,1056.543
153,8000.6885,12738.38,6769.182,1044.0278
154,7947.812,12970.423,6769.182,1103.4371
155,7951.4326,12466.347,6769.1826,1069.7417
156,7967.3125,11821.253,6769.7036,1055.4648
157,7973.4766,14257.597,6769.1826,1136.0061
158,8031.1377,12999.171,6769.1826,1137.7246
159,8010.088,12692.917,6769.1826,1050.7002
160,7971.8394,12234.274,6769.182,1106.6829
161,7964.671,12238.09,6770.0806,1101.1285
162,8004.404,13081.315,6770.081,1092.0771
163,8020.7676,13216.016,6769.183,1084.9159
164,8013.7207,12294.293,6769.1826,1075.8114
165,7986.401,11885.509,6769.1826,1024.1874
166,7986.0063,12009.039,6769.1826,1097.3058
167,8021.6997,12354.388,6769.183,1108.2842
168,7955.888,12490.666,6769.1826,1050.0149
169,7910.125,12252.271,6769.1826,1054.9763
170,7952.0337,12646.133,6771.3403,1028.5128
171,8021.727,12270.178,6769.1826,1112.2653
172,7978.445,14059.52,6769.1826,1149.9934
173,7858.081,13789.705,6770.08,1130.5289
174,7986.401,12418.241,6770.08,1006.4196
175,8030.363,11970.002,6769.1826,1084.9417
176,8037.787,12939.438,6770.08,1048.7454
177,7996.0024,12320.915,6769.1826,1051.5612
178,7973.4766,12134.038,6769.1826,1064.7515
179,8066.8027,13733.02,6769.183,1098.9589
180,8053.563,12792.255,6770.0806,1092.1049
181,7973.4766,12442.867,6769.1826,1049.9786
182,8021.6997,12482.955,6770.0806,1081.5287
183,8008.2065,13205.929,6769.183,1114.8934
184,8021.6997,12155.976,6770.0806,1125.9259
185,7995.5884,12271.08,6770.0806,1117.2333
186,7971.188,12041.633,6769.1826,1032.5531
187,7945.5825,12582.602,6769.3506,1081.7656
188,7981.9556,12935.034,6770.0806,1002.66693
189,8000.657,13214.506,6770.0806,1049.4218
190,8042.976,13464.844,6770.0806,1103.9478
191,8005.6,12147.718,6769.7036,1049.3364
192,7953.0728,12755.068,6691.84,1073.7311
193,8070.163,12740.577,6769.183,1078.3062
